note,glyph,sentence,uses,cells
1,*,Set the same as the carry bit.,9,ABCD:X;ADD:X;ADDI:X;ADDQ:X;ADDX:X;NBCD:X;NEG:X;NEGX:X;SBCD:X
2,*,Cleared if the result is nonzero; unchanged otherwise.,6,ABCD:Z;ADDX:Z;NBCD:Z;NEGX:Z;SBCD:Z;SUBX:Z
3,*,Set if a decimal carry was generated; cleared otherwise.,1,ABCD:C
4,*,Set if the result is negative; cleared otherwise.,22,"ADD:N;ADDI:N;ADDQ:N;ADDX:N;CAS, CAS2:N;CMP:N;CMPA:N;CMPI:N;CMPM:N;EXT, EXTB:N;LSL, LSR:N;MOVE:N;MOVEQ:N;MULS:N;MULU:N;NEG:N;NEGX:N;NOT:N;SUB:N;SUBI:N;SUBQ:N;SUBX:N"
5,*,Set if the result is zero; cleared otherwise.,28,"ADD:Z;ADDI:Z;ADDQ:Z;AND:Z;ANDI:Z;ASL, ASR:Z;CAS, CAS2:Z;CMP:Z;CMPA:Z;CMPI:Z;CMPM:Z;EOR:Z;EORI:Z;EXT, EXTB:Z;LSL, LSR:Z;MOVE:Z;MOVEQ:Z;MULS:Z;MULU:Z;NEG:Z;NOT:Z;OR:Z;ORI:Z;ROL, ROR:Z;ROXL, ROXR:Z;SUB:Z;SUBI:Z;SUBQ:Z"
6,*,Set if an overflow is generated; cleared otherwise.,6,"ADD:V;ADDI:V;CAS, CAS2:V;CMPA:V;CMPM:V;SUB:V"
7,*,Set if a carry is generated; cleared otherwise.,3,ADD:C;ADDI:C;ADDX:C
8,*,Set if an overflow occurs; cleared otherwise.,9,ADDQ:V;ADDX:V;CMP:V;CMPI:V;NEG:V;NEGX:V;SUBI:V;SUBQ:V;SUBX:V
9,*,Set if a carry occurs; cleared otherwise.,1,ADDQ:C
10,*,Set if the most significant bit of the result is set; cleared otherwise.,9,"AND:N;ANDI:N;ASL, ASR:N;EOR:N;EORI:N;OR:N;ORI:N;ROL, ROR:N;ROXL, ROXR:N"
11,*,Cleared if bit 4 of immediate operand is zero; unchanged otherwise.,2,ANDI to CCR:X;ANDI to SR:X
12,*,Cleared if bit 3 of immediate operand is zero; unchanged otherwise.,2,ANDI to CCR:N;ANDI to SR:N
13,*,Cleared if bit 2 of immediate operand is zero; unchanged otherwise.,2,ANDI to CCR:Z;ANDI to SR:Z
14,*,Cleared if bit 1 of immediate operand is zero; unchanged otherwise.,2,ANDI to CCR:V;ANDI to SR:V
