mnemonic,title,processors,section,printed_page,pdf_page,form,x,n,z,v,c,x_note,n_note,z_note,v_note,c_note,qualifier
ABCD,Add Decimal with Extend,(M68000 Family),4,4-2,106,table,*,U,*,U,*,1,,2,,3,"Normally, the Z condition code bit is set via programming before the start of an operation. This allows successful tests for zero results upon completion of multiple-precision operations."
ADD,Add,(M68000 Family),4,4-4,108,table,*,*,*,*,*,1,4,5,6,7,
ADDA,Add Address,(M68000 Family),4,4-7,111,prose,—,—,—,—,—,,,,,,
ADDI,Add Immediate,(M68000 Family),4,4-9,113,table,*,*,*,*,*,1,4,5,6,7,
ADDQ,Add Quick,(M68000 Family),4,4-11,115,table,*,*,*,*,*,1,4,5,8,9,The condition codes are not affected when the destination is an address register.
ADDX,Add Extended,(M68000 Family),4,4-13,117,table,*,*,*,*,*,1,4,2,8,7,"Normally, the Z condition code bit is set via programming before the start of an operation. This allows successful tests for zero results upon completion of multiple-precision operations."
AND,AND Logical,(M68000 Family),4,4-15,119,table,—,*,*,0,0,,10,5,,,
ANDI,AND Immediate,(M68000 Family),4,4-18,122,table,—,*,*,0,0,,10,5,,,
ANDI to CCR,CCR AND Immediate,(M68000 Family),4,4-20,124,table,*,*,*,*,*,11,12,13,14,15,
"ASL, ASR",Arithmetic Shift,(M68000 Family),4,4-21,125,table,*,*,*,*,*,16,10,5,17,18,
Bcc,Branch Conditionally,(M68000 Family),4,4-25,129,prose,—,—,—,—,—,,,,,,
BCHG,Test a Bit and Change,(M68000 Family),4,4-27,131,table,—,—,*,—,—,,,19,,,
BCLR,Test a Bit and Clear,(M68000 Family),4,4-30,134,table,—,—,*,—,—,,,19,,,
BFCHG,Test Bit Field and Change,"(MC68020, MC68030, MC68040)",4,4-33,137,table,—,*,*,0,0,,20,21,,,
BFCLR,Test Bit Field and Clear,"(MC68020, MC68030, MC68040)",4,4-35,139,table,—,*,*,0,0,,20,21,,,
BFEXTS,Extract Bit Field Signed,"(MC68020, MC68030, MC68040)",4,4-37,141,table,—,*,*,0,0,,20,21,,,
BFEXTU,Extract Bit Field Unsigned,"(MC68020, MC68030, MC68040)",4,4-40,144,table,—,*,*,0,0,,22,21,,,
BFFFO,Find First One in Bit Field,"(MC68020, MC68030, MC68040)",4,4-43,147,table,—,*,*,0,0,,20,21,,,
BFINS,Insert Bit Field,"(MC68020, MC68030, MC68040)",4,4-46,150,table,—,*,*,0,0,,20,21,,,
BFSET,Test Bit Field and Set,"(MC68020, MC68030, MC68040)",4,4-49,153,table,—,*,*,0,0,,20,21,,,
BFTST,Test Bit Field,"(MC68020, MC68030, MC68040)",4,4-51,155,table,—,*,*,0,0,,20,21,,,
BKPT,Breakpoint,"(MC68EC000, MC68010, MC68020, MC68030, MC68040, CPU32)",4,4-53,157,prose,—,—,—,—,—,,,,,,
BRA,Branch Always,(M68000 Family),4,4-55,159,prose,—,—,—,—,—,,,,,,
BSET,Test a Bit and Set,(M68000 Family),4,4-56,160,table,—,—,*,—,—,,,19,,,
BSR,Branch to Subroutine,(M68000 Family),4,4-59,163,prose,—,—,—,—,—,,,,,,
BTST,Test a Bit,(M68000 Family),4,4-61,165,table,—,—,*,—,—,,,19,,,
CALLM,Call Module,(MC68020),4,4-64,168,prose,—,—,—,—,—,,,,,,
"CAS, CAS2",Compare and Swap with Operand,"(MC68020, MC68030, MC68040)",4,4-66,170,table,—,*,*,*,*,,4,5,6,23,
CHK,Check Register Against Bounds,(M68000 Family),4,4-69,173,table,—,*,U,U,U,,24,,,,
CHK2,Check Register Against Bounds,"(MC68020, MC68030, MC68040, CPU32)",4,4-71,175,table,—,U,*,U,*,,,25,,26,
CLR,Clear an Operand,(M68000 Family),4,4-73,177,table,—,0,1,0,0,,,,,,
CMP,Compare,(M68000 Family),4,4-75,179,table,—,*,*,*,*,,4,5,8,27,
CMPA,Compare Address,(M68000 Family),4,4-77,181,table,—,*,*,*,*,,4,5,6,23,
CMPI,Compare Immediate,(M68000 Family),4,4-79,183,table,—,*,*,*,*,,4,5,8,27,
CMPM,Compare Memory,(M68000 Family),4,4-81,185,table,—,*,*,*,*,,4,5,6,23,
CMP2,Compare Register Against Bounds,"(MC68020, MC68030, MC68040, CPU32)",4,4-82,186,table,—,U,*,U,*,,,25,,26,
cpBcc,Branch on Coprocessor Condition,"(MC68020, MC68030)",4,4-84,188,prose,—,—,—,—,—,,,,,,
cpDBcc,Test Coprocessor Condition Decrement and Branch,"(MC68020, MC68030)",4,4-85,189,prose,—,—,—,—,—,,,,,,
cpGEN,Coprocessor General Function,"(MC68020, MC68030)",4,4-86,190,prose,*,*,*,*,*,28,28,28,28,28,
cpScc,Set on Coprocessor Condition,"(MC68020, MC68030)",4,4-87,191,prose,—,—,—,—,—,,,,,,
cpTRAPcc,Trap on Coprocessor Condition,"(MC68020, MC68030)",4,4-89,193,prose,—,—,—,—,—,,,,,,
DBcc,"Test Condition, Decrement, and Branch",(M68000 Family),4,4-90,194,prose,—,—,—,—,—,,,,,,
