table,pdf_page,printed_page,num,footnotes,characteristic,condition,unit,f8_min,f8_max,f10_min,f10_max,f12_5_min,f12_5_max,f16_67_min,f16_67_max,f16_min,f16_max,f20_min,f20_max,note
clock,159,10-8,,,Frequency of Operation,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; applies to all processors except the MC68EC000,MHz,4.0,8.0,4.0,10.0,4.0,12.5,8.0,16.7,8.0,16.7,8.0,20.0,
clock,159,10-8,1,,Cycle Time,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; applies to all processors except the MC68EC000,ns,125,250,100,250,80,250,60,125,60,125,50,125,
clock,159,10-8,"2, 3",,Clock Pulse Width (Measured from 1.5 V to 1.5 V for 12F),VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; applies to all processors except the MC68EC000,ns,55,125,45,125,35,125,27,62.5,27,62.5,21,62.5,"printed as two identical lines, one for specification 2 and one for 3"
clock,159,10-8,"4, 5",,Clock Rise and Fall Times,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; applies to all processors except the MC68EC000,ns,,10,,10,,5,,5,,5,,4,"printed as two identical lines, one for specification 4 and one for 5"
clock-mc68008,160,10-9,,,Frequency of Operation,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68008 only,MHz,2.0,8.0,2.0,10.0,,,,,,,,,
clock-mc68008,160,10-9,1,,Cycle Time,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68008 only,ns,125,500,100,500,,,,,,,,,
clock-mc68008,160,10-9,"2, 3",,Clock Pulse Width,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68008 only,ns,55,250,45,250,,,,,,,,,
clock-mc68008,160,10-9,"4, 5",,Clock Rise and Fall Times,VCC = 5.0 VDC +/- 5%; GND = 0 VDC; TA = TL to TH; MC68008 only,ns,,10,,10,,,,,,,,,
read-write,161,10-10,6,,Clock Low to Address Valid,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,62,,50,,50,,50,,30,,25,the 16 MHz minimum cell is blank rather than dashed
read-write,161,10-10,6A,,Clock High to FC Valid,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,62,,50,,45,,45,0,30,0,25,
read-write,161,10-10,7,,"Clock High to Address, Data Bus High Impedance (Maximum)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,80,,70,,60,,50,,50,,42,the 16 MHz minimum cell is blank rather than dashed
read-write,161,10-10,8,,"Clock High to Address, FC Invalid (Minimum)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,,0,,0,,0,,0,,0,,
read-write,161,10-10,9,1,"Clock High to AS, DS Asserted",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,3,60,3,50,3,40,3,40,3,30,3,25,
read-write,161,10-10,11,2,"Address Valid to AS, DS Asserted (Read)/AS Asserted (Write)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,30,,20,,15,,15,,15,,10,,
read-write,161,10-10,11A,2,"FC Valid to AS, DS Asserted (Read)/AS Asserted (Write)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,90,,70,,60,,30,,45,,40,,"printed with two stray closing parentheses: ""FC Valid to AS), DS Asserted (Read)/AS) Asserted (Write)"""
read-write,161,10-10,12,1,"Clock Low to AS, DS Negated",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,62,,50,,40,,40,3,30,3,25,
read-write,161,10-10,13,2,"AS, DS Negated to Address, FC Invalid",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,40,,30,,20,,10,,15,,10,,
read-write,161,10-10,14,2,AS (and DS Read) Width Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,270,,195,,160,,120,,120,,100,,"printed ""ASand DS Read) Width Asserted""; 10.14 prints the same specification as ""AS (and DS Read) Width Asserted"""
read-write,161,10-10,14A,,DS Width Asserted (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,140,,95,,80,,60,,60,,50,,the first four maximum cells are blank rather than dashed
read-write,161,10-10,15,2,"AS, DS Width Negated",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,150,,105,,65,,60,,60,,50,,
read-write,161,10-10,16,,Clock High to Control Bus High Impedance,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,80,,70,,60,,50,,50,,42,
read-write,161,10-10,17,2,"AS, DS Negated to R/W Invalid",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,40,,30,,20,,10,,15,,10,,
read-write,161,10-10,18,1,Clock High to R/W High (Read),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,55,0,45,0,40,0,40,0,30,0,25,
read-write,161,10-10,20,1,Clock High to R/W Low (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,55,0,45,0,40,0,40,0,30,0,25,
read-write,161,10-10,20A,"2, 6",AS Asserted to R/W Valid (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,10,,10,,10,,10,,10,,10,
read-write,161,10-10,21,2,Address Valid to R/W Low (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,20,,0,,0,,0,,0,,0,,
read-write,161,10-10,21A,2,FC Valid to R/W Low (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,60,,50,,30,,20,,30,,25,,
read-write,161,10-10,22,2,R/W Low to DS Asserted (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,80,,50,,30,,20,,30,,25,,
read-write,161,10-10,23,,Clock Low to Data-Out Valid (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,62,,50,,50,,550,,30,,25,SOURCE ERROR: the 16.67 MHz maximum prints as 550; 10.11 gives 50 for the same specification and grade
read-write,161,10-10,25,"2, 10","AS, DS Negated to Data-Out Invalid (Write)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,40,,30,,20,,15,,15,,10,,"the 8 MHz cell prints ""40"" with the footnote marker 10 broken across two lines; note 10 reads ""245 ns for the MC68008"", which fits specification 28, not this one"
read-write,162,10-11,26,2,Data-Out Valid to DS Asserted (Write),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,40,,30,,20,,15,,15,,10,,
read-write,162,10-11,27,5,Data-In Valid to Clock Low (Setup Time on Read),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,10,,10,,10,,7,,5,,5,,
read-write,162,10-11,27A,5,Late BERR Asserted to Clock Low (Setup Time),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,45,,45,,45,,,,,,,,not specified above 12.5 MHz
read-write,162,10-11,28,"2, 11","AS, DS Negated to DTACK Negated (Asynchronous Hold)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,240,0,190,0,150,0,110,0,110,0,95,"the 8 MHz maximum prints ""240"" with the footnote marker 11 broken across two lines; note 11 reads ""50 ns for the MC68008"", which fits specification 25, not this one"
read-write,162,10-11,28A,,"AS, DS Negated to Data-In High Impedance",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,187,,150,,120,,110,,110,,95,
read-write,162,10-11,29,,"AS, DS Negated to Data-In Invalid (Hold Time on Read)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,,0,,0,,0,,0,,0,,
read-write,162,10-11,29A,,"AS, DS Negated to Data-In High Impedance",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,187,,150,,120,,90,,90,,75,same characteristic text as 28A but different limits above 12.5 MHz
read-write,162,10-11,30,,"AS, DS Negated to BERR Negated",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,,0,,0,,0,,0,,0,,
read-write,162,10-11,31,"2, 5",DTACK Asserted to Data-In Valid (Setup Time),VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,90,,65,,50,,40,,50,,42,
read-write,162,10-11,32,,HALT and RESET Input Transition Time,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,200,0,200,0,200,0,150,,150,0,150,the 16 MHz minimum is dashed where every other grade gives 0
read-write,162,10-11,33,,Clock High to BG Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,62,,50,,40,,40,0,30,0,25,
read-write,162,10-11,34,,Clock High to BG Negated,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,62,,50,,40,,40,0,30,0,25,
read-write,162,10-11,35,,BR Asserted to BG Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,
read-write,162,10-11,36,7,BR Negated to BG Negated,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,
read-write,162,10-11,37,,BGACK Asserted to BG Negated,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,
read-write,162,10-11,37A,8,BGACK Asserted to BR Negated,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns/Clks,20,1.5,20,1.5,20,1.5,10,1.5,10,1.5,10,1.5,"the minima are ns and the maxima Clks; 10.12 heads the unit column ""Clks/ns"", this table ""ns"""
read-write,162,10-11,38,,"BG Asserted to Control, Address, Data Bus High Impedance (AS Negated)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,80,,70,,60,,50,,50,,42,
read-write,162,10-11,39,,BG Width Negated,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,clks,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,
read-write,162,10-11,40,,Clock Low to VMA Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,70,,70,,70,,50,,50,,40,
read-write,162,10-11,41,12,Clock Low to E Transition,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,55,,45,,35,,35,,35,,30,"the 8 MHz maximum carries footnote 12, ""50 ns for the MC68008"""
read-write,162,10-11,42,,E Output Rise and Fall Time,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,,15,,15,,15,,15,,15,,12,
read-write,162,10-11,43,,VMA Asserted to E High,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,200,,150,,90,,80,,80,,60,,
read-write,162,10-11,44,,"AS, DS Negated to VPA Negated",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,0,120,0,90,0,70,0,50,0,50,0,42,
read-write,162,10-11,45,,"E Low to Control, Address Bus Invalid (Address Hold Time)",VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,30,,10,,10,,10,,10,,10,,
read-write,162,10-11,46,,BGACK Width Low,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,"SOURCE ERROR: the unit prints as ns; 10.12 gives the same limits in Clks, which is what 1.5 must be"
read-write,163,10-12,47,5,Asynchronous Input Setup Time,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,10,,10,,10,,10,,5,,5,,SOURCE INCONSISTENCY: 10.11 gives 10 ns at 16 MHz and 10.12 gives 5 ns at 16.67 MHz
read-write,163,10-12,48,"2, 3",BERR Asserted to DTACK Asserted,VCC = 5.0 VDC +/- 5%; GND = 0 V; TA = TL to TH; applies to all processors except the MC68EC000,ns,20,,20,,20,,10,,10,,10,,
