table,pdf_page,printed_page,num,footnotes,characteristic,condition,f16_67_min,f16_67_max,f20_min,f20_max,f25_min,f25_max,f33_33_min,f33_33_max,unit,note
clock,281,10-7,,,Frequency of Operation,,8,16.67,12.5,20,12.5,25,12.5,33.33,MHz,
clock,281,10-7,1,,Cycle Time,,60,125,50,80,40,80,30,80,ns,
clock,281,10-7,"2,3",,Clock Pulse Width (Measured from 1.5 V to 1.5 V),,24,95,20,54,19,61,14,66,ns,
clock,281,10-7,"4,5",,Clock Rise and Fall Times,,—,5,—,5,—,4,—,3,ns,
read-write,282,10-8,6,,"Clock High to FC, Size, RMC, Address Valid",,0,30,0,25,0,25,0,21,ns,
read-write,282,10-8,6A,*,"Clock High to ECS, OCS Asserted",,0,20,0,15,0,12,0,10,ns,
read-write,282,10-8,7,,"Clock High to Address, Data, FC, Size, RMC High Impedance",,0,60,0,50,0,40,0,30,ns,
read-write,282,10-8,8,,"Clock High to Address, FC, Size, RMC Invalid",,0,—,0,—,0,—,0,—,ns,
read-write,282,10-8,9,,"Clock Low to AS, DS Asserted",,3,30,3,25,3,18,3,15,ns,
read-write,282,10-8,9A,1,AS to DS Assertion Skew (Read),,–15,15,–10,10,–10,10,–10,10,ns,
read-write,282,10-8,9B,11,AS Asserted to DS Asserted (Write),,37,—,32,—,27,—,22,—,ns,
read-write,282,10-8,10,*,ECS Width Asserted,,20,—,15,—,15,—,10,—,ns,
read-write,282,10-8,10A,*,OCS Width Asserted,,20,—,15,—,15,—,10,—,ns,
read-write,282,10-8,10B,"*,7","ECS, OCS Width Negated",,15,—,10,—,5,—,5,—,ns,
read-write,282,10-8,11,,"Address, FC, Size, RMC Valid to AS (and DS Asserted, Read)",,15,—,10,—,6,—,5,—,ns,
read-write,282,10-8,12,,"Clock Low to AS, DS Negated",,0,30,0,25,0,15,0,15,ns,
read-write,282,10-8,12A,*,"Clock Low to ECS, OCS Negated",,0,30,0,25,0,15,0,15,ns,
