table,pdf_page,printed_page,applies_to,row,column,value,unit,note
thermal-resistance,276,10-2,MC68020,PGA Package (RC Suffix),θJA,26,°C/W,
thermal-resistance,276,10-2,MC68020,PGA Package (RC Suffix),θJC,3,°C/W,
thermal-resistance,276,10-2,MC68020,PPGA Package (RP Suffix),θJA,32,°C/W,
thermal-resistance,276,10-2,MC68020,PPGA Package (RP Suffix),θJC,10,°C/W,
thermal-resistance,276,10-2,MC68020,CQFP Package (FE Suffix),θJA,46,°C/W,
thermal-resistance,276,10-2,MC68020,CQFP Package (FE Suffix),θJC,15,°C/W,
thermal-resistance,276,10-2,MC68020,PQFP Package (FC Suffix),θJA,42,°C/W,
thermal-resistance,276,10-2,MC68020,PQFP Package (FC Suffix),θJC,20,°C/W,
thermal-resistance,278,10-4,MC68EC020,PPGA Package (RP Suffix),θJA,32,°C/W,
thermal-resistance,278,10-4,MC68EC020,PPGA Package (RP Suffix),θJC,10,°C/W,
thermal-resistance,278,10-4,MC68EC020,PQFP Package (FG Suffix),θJA,53,°C/W,
thermal-resistance,278,10-4,MC68EC020,PQFP Package (FG Suffix),θJC,18,°C/W,
table-10-1,277,10-3,MC68020,"Maximum, No Heatsink",0*,46,,
table-10-1,277,10-3,MC68020,"Maximum, No Heatsink",200,28,,
table-10-1,277,10-3,MC68020,"Maximum, No Heatsink",500,24,,
table-10-1,277,10-3,MC68020,"Maximum, With Heatsink",0*,35,,
table-10-1,277,10-3,MC68020,"Maximum, With Heatsink",200,20,,
table-10-1,277,10-3,MC68020,"Maximum, With Heatsink",500,18,,
table-10-1,277,10-3,MC68020,"Typical, No Heatsink",0*,43,,
table-10-1,277,10-3,MC68020,"Typical, No Heatsink",200,25,,
table-10-1,277,10-3,MC68020,"Typical, No Heatsink",500,21,,
table-10-1,277,10-3,MC68020,"Typical, With Heatsink",0*,32,,
table-10-1,277,10-3,MC68020,"Typical, With Heatsink",200,17,,
table-10-1,277,10-3,MC68020,"Typical, With Heatsink",500,15,,
table-10-2,277,10-3,MC68020/EC020,33,PD Maximum (Watts),1.4,,
table-10-2,277,10-3,MC68020/EC020,33,PD Typical (Watts),0.84,,
table-10-2,277,10-3,MC68020/EC020,25,PD Maximum (Watts),1.2,,
table-10-2,277,10-3,MC68020/EC020,25,PD Typical (Watts),0.72,,
table-10-2,277,10-3,MC68020/EC020,20,PD Maximum (Watts),1.0,,
table-10-2,277,10-3,MC68020/EC020,20,PD Typical (Watts),0.60,,
table-10-2,277,10-3,MC68020/EC020,16,PD Maximum (Watts),0.9,,
table-10-2,277,10-3,MC68020/EC020,16,PD Typical (Watts),0.54,,
table-10-3,277,10-3,MC68020,Tba (°C)—No Heatsink,0.6W,18,,
table-10-3,277,10-3,MC68020,Tba (°C)—No Heatsink,1.0W,27,,
table-10-3,277,10-3,MC68020,Tba (°C)—No Heatsink,1.75W,53,,
table-10-4,278,10-4,MC68EC020,Maximum—No Heatsink,0*,53,,
table-10-4,278,10-4,MC68EC020,Maximum—No Heatsink,50,49,,
table-10-4,278,10-4,MC68EC020,Maximum—No Heatsink,100,45,,
table-10-4,278,10-4,MC68EC020,Maximum—No Heatsink,200,41,,
table-10-4,278,10-4,MC68EC020,Maximum—No Heatsink,300,38,,
table-10-4,278,10-4,MC68EC020,Maximum—No Heatsink,400,36,,
table-10-4,278,10-4,MC68EC020,Typical—No Heatsink,0*,51,,
table-10-4,278,10-4,MC68EC020,Typical—No Heatsink,50,47,,
table-10-4,278,10-4,MC68EC020,Typical—No Heatsink,100,43,,
table-10-4,278,10-4,MC68EC020,Typical—No Heatsink,200,39,,
table-10-4,278,10-4,MC68EC020,Typical—No Heatsink,300,37,,
table-10-4,278,10-4,MC68EC020,Typical—No Heatsink,400,35,,
