table,pdf_page,printed_page,num,footnotes,characteristic,condition,unit,f20_min,f20_max,f25_min,f25_max,f33_min,f33_max,f40_min,f40_max,f50_min,f50_max,confidence,note
clock,7,5,,,Frequency of Operation,,MHz,12.5,20,12.5,25,20,33.33,25,40,25,50,high,
clock,7,5,1,,Cycle Time Clock,,ns,50,80,40,80,30,50,25,40,20,40,high,
clock,7,5,"2, 3",,Clock Pulse Width Measured from 1.5 V to 1.5 V,,ns,23,57,19,61,14,36,11.5,29,9.5,30.5,high,
clock,7,5,"4, 5",,Clock Rise and Fall Times,,ns,,5,,4,,3,,2,,2,high,
read-write,8,6,6,,"Clock High to Function Code, Size, RMC, IPEND, CIOUT, Address Valid",,ns,0,25,0,20,0,14,0,14,0,14,high,
read-write,8,6,6A,,"Clock High to ECS, OCS Asserted",,ns,0,15,0,15,0,12,0,10,0,10,high,
read-write,8,6,6B,,"Function Code, Size, RMC, IPEND, CIOUT, Address Valid to Negating Edge of ECS",,ns,4,,3,,3,,3,,3,,high,
read-write,8,6,7,,"Clock High to Function Code, Size, RMC, CIOUT, Address, Data High Impedance",,ns,0,50,0,40,0,30,0,25,0,20,high,
read-write,8,6,8,,"Clock High to Function Code, Size, RMC, IPEND, CIOUT, Address Invalid",,ns,0,,0,,0,,0,,0,,high,
read-write,8,6,9,,"Clock Low to AS, DS Asserted, CBREQ Valid",,ns,3,20,3,18,2,10,2,10,2,10,high,
read-write,8,6,9A,1,AS to DS Assertion Skew (Read),,ns,-10,10,-10,10,-8,8,-6,6,-6,6,high,Signed skew window; the min column tightens toward zero as the grade gets faster. Not an anomaly.
read-write,8,6,9B,14,AS Asserted to DS Asserted (Write),,ns,32,,27,,22,,16,,14,,high,
read-write,8,6,10,,ECS Width Asserted,,ns,15,,10,,8,,5,,4,,high,
read-write,8,6,10A,,OCS Width Asserted,,ns,15,,10,,8,,5,,4,,high,
read-write,8,6,10B,7,"ECS, OCS Width Negated",,ns,10,,5,,5,,5,,4,,high,
read-write,8,6,11,,"Function Code, Size, RMC, CIOUT, Address Valid to Asserting Edge of AS Asserted (and DS Asserted, Read)",,ns,10,,7,,5,,5,,3,,high,
read-write,8,6,12,,"Clock Low to AS, DS, CBREQ Negated",,ns,0,20,0,18,0,10,0,10,0,10,high,
read-write,8,6,12A,,Clock Low to ECS/OCS Negated,,ns,0,20,0,18,0,15,0,12,0,11,high,
read-write,8,6,13,,"AS, DS Negated to Function Code, Size, RMC, CIOUT, Address Invalid",,ns,10,,7,,5,,3,,3,,high,
read-write,8,6,14,,AS (and DS Read) Width Asserted (Asynchronous Cycle),,ns,85,,70,,45,,30,,25,,high,
read-write,8,6,14A,11,DS Width Asserted (Write),,ns,38,,30,,23,,18,,13,,high,
read-write,8,6,14B,,"AS (and DS, Read) Width Asserted (Synchronous Cycle)",,ns,35,,30,,23,,18,,13,,high,
read-write,8,6,15,,"AS, DS Width Negated",,ns,38,,30,,23,,18,,13,,high,
read-write,8,6,15A,8,DS Negated to AS Asserted,,ns,30,,25,,18,,16,,14,,high,
read-write,8,6,16,,"Clock High to AS, DS, R/W, DBEN, CBREQ High Impedance",,ns,,50,,40,,30,,25,,20,high,
read-write,9,7,17,,"AS, DS Negated to R/W Invalid",,ns,10,,7,,5,,3,,3,,high,
read-write,9,7,18,,Clock High to R/W High,,ns,0,25,0,20,0,15,0,14,0,14,high,
read-write,9,7,20,,Clock High to R/W Low,,ns,0,25,0,20,0,15,0,14,0,14,high,
read-write,9,7,21,,R/W High to AS Asserted,,ns,10,,7,,5,,5,,3,,high,
read-write,9,7,22,,R/W Low to DS Asserted (Write),,ns,60,,47,,35,,24,,23,,high,
read-write,9,7,23,,Clock High to Data-Out Valid,,ns,,25,,20,,14,,14,,14,high,
read-write,9,7,24,,Data-Out Valid to Negating Edge of AS,,ns,8,,5,,3,,3,,3,,high,
read-write,9,7,25,11,"AS, DS Negated to Data-Out Invalid",,ns,10,,7,,5,,3,,3,,high,
read-write,9,7,25A,"9, 11",DS Negated to DBEN Negated (Write),,ns,10,,7,,5,,3,,3,,high,
read-write,9,7,26,11,Data-Out Valid to Asserting Edge of DS Asserted (Write),,ns,10,,7,,5,,3,,3,,high,
read-write,9,7,27,,Data-In Valid to Clock Low (Setup),,ns,4,,2,,1,,1,,1,,high,
read-write,9,7,27A,,Late BERR/HALT Asserted to Clock Low (Setup),,ns,10,,5,,3,,3,,3,,high,
read-write,9,7,28,12,"AS, DS Negated to DSACKx, BERR, HALT, AVEC Negated (Asynchronous Hold)",,ns,0,50,0,40,0,30,0,20,0,15,high,
read-write,9,7,28A,12,"Clock Low to DSACKx, BERR, HALT, AVEC Negated (Synchronous Hold)",,ns,12,85,8,70,6,50,6,40,6,35,high,
read-write,9,7,29,12,"AS, DS Negated to Data-In Invalid (Asynchronous Hold)",,ns,0,,0,,0,,0,,0,,high,
read-write,9,7,29A,12,"AS, DS Negated to Data-In High Impedance",,ns,,50,,40,,30,,25,,20,high,
read-write,9,7,30,12,Clock Low to Data-In Invalid (Synchronous Hold),,ns,12,,8,,6,,6,,6,,high,
read-write,9,7,30A,12,Clock Low to Data-In High Impedance (Read followed by Write),,ns,,75,,60,,45,,30,,25,high,
read-write,9,7,31,2,DSACKx Asserted to Data-In Valid (Asynchronous Data Setup),,ns,,43,,28,,20,,14,,13,high,
read-write,9,7,31A,3,DSACKx Asserted to DSACKx Valid (Skew),,ns,,10,,7,,5,,3,,3,high,
read-write,9,7,32,,RESET Input Transition Time,,Clks,,1.5,,1.5,,1.5,,1.5,,1.5,high,
read-write,9,7,33,,Clock Low to BG Asserted,,ns,0,25,0,20,0,15,0,14,0,14,high,
read-write,9,7,34,,Clock Low to BG Negated,,ns,0,25,0,20,0,15,0,14,0,14,high,
read-write,9,7,35,,BR Asserted to BG Asserted (RMC Not Asserted),,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,high,
read-write,10,8,37,,BGACK Asserted to BG Negated,,Clks,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,high,
read-write,10,8,37A,6,BGACK Asserted to BR Negated,,Clks,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,high,
read-write,10,8,39,,BG Width Negated,,ns,75,,60,,45,,30,,30,,high,
read-write,10,8,39A,,BG Width Asserted,,ns,75,,60,,45,,30,,30,,high,
read-write,10,8,40,,Clock High to DBEN Asserted (Read),,ns,0,25,0,20,0,18,0,16,0,14,high,
read-write,10,8,41,,Clock Low to DBEN Negated (Read),,ns,0,25,0,20,0,18,0,16,0,14,high,
read-write,10,8,42,,Clock Low to DBEN Asserted (Write),,ns,0,25,0,20,0,18,0,16,0,14,high,
read-write,10,8,43,,Clock High to DBEN Negated (Write),,ns,0,25,0,20,0,18,0,16,0,14,high,
read-write,10,8,44,,R/W Low to DBEN Asserted (Write),,ns,10,,7,,5,,5,,5,,high,
read-write,10,8,45,5,DBEN Width Asserted,Asynchronous Read,ns,50,,40,,30,,22,,20,,high,
read-write,10,8,45,5,DBEN Width Asserted,Asynchronous Write,ns,100,,80,,60,,45,,40,,high,
read-write,10,8,45A,9,DBEN Width Asserted,Synchronous Read,ns,10,,5,,5,,5,,5,,high,
read-write,10,8,45A,9,DBEN Width Asserted,Synchronous Write,ns,50,,40,,30,,22,,20,,high,
read-write,10,8,46,,R/W Width Asserted (Asynchronous Write or Read),,ns,125,,100,,75,,50,,40,,high,
read-write,10,8,46A,,R/W Width Asserted (Synchronous Write or Read),,ns,75,,60,,45,,30,,25,,high,
read-write,10,8,47A,,Asynchronous Input Setup Time to Clock Low,,ns,4,,2,,2,,2,,2,,high,
read-write,10,8,47B,,Asynchronous Input Hold Time from Clock Low,,ns,12,,8,,6,,6,,6,,high,
read-write,10,8,48,4,"DSACKx Asserted to BERR, HALT Asserted",,ns,,20,,25,,18,,14,,13,high,"Transcription confirmed against the printed document. The 20 MHz max (20) is LOWER than the 25 MHz max (25), making this the only non-monotonic limit in the source; either an error in the original datasheet or a deliberate exception. See README."
read-write,10,8,53,,Data-Out Hold from Clock High,,ns,3,,3,,2,,2,,2,,high,
read-write,10,8,55,,R/W Asserted to Data Bus Impedance Change,,ns,25,,20,,15,,11,,11,,high,
read-write,10,8,56,,RESET Pulse Width (Reset Instruction),,Clks,512,,512,,512,,512,,512,,high,
read-write,10,8,57,,BERR Negated to HALT Negated (Rerun),,ns,0,,0,,0,,0,,0,,high,
read-write,10,8,58,10,BGACK Negated to Bus Driven,,Clks,1,,1,,1,,1,,1,,high,
read-write,10,8,59,10,BG Negated to Bus Driven,,Clks,1,,1,,1,,1,,1,,high,
read-write,11,9,60,13,Synchronous Input Valid to Clock High (Setup Time),,ns,4,,2,,2,,2,,2,,high,
read-write,11,9,61,13,Clock High to Synchronous Input Invalid (Hold Time),,ns,12,,8,,6,,6,,6,,high,
read-write,11,9,62,,"Clock Low to STATUS, REFILL Asserted",,ns,0,25,0,20,0,15,0,15,0,15,high,
read-write,11,9,63,,"Clock Low to STATUS, REFILL Negated",,ns,0,25,0,20,0,15,0,15,0,15,high,
